key_painter| matching_painter| image_url| museum
Paul Gauguin|Paul Gauguin|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773235-WEB.jpg|lacma
Paul Gauguin|Paul Gauguin|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-1869249-WEB.jpg|lacma
Giovanni Battista Tiepolo|Giovanni Battista Tiepolo|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000157/9573_1696758.jpg|artic
Giovanni Battista Tiepolo|Giovanni Battista Tiepolo|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000254/187434_3026627.jpg|artic
Giovanni Battista Tiepolo|Giovanni Battista Moroni|http://www.dia.org/user_area/comping/29.244-S1.jpg|detroit
Giovanni Battista Tiepolo|Giovanni Battista Tiepolo|http://www.dia.org/user_area/comping/29.4-D1.jpg|detroit
Giovanni Battista Tiepolo|Giovanni Battista Cima|http://www.dia.org/user_area/comping/43.478-S1.jpg|detroit
Giovanni Battista Tiepolo|Giovanni Battista Tiepolo|http://www.dia.org/user_area/comping/44.213.jpg|detroit
Giovanni Battista Tiepolo|Giovanni Battista Tiepolo|http://www.dia.org/user_area/comping/57.180-D1.jpg|detroit
Giovanni Battista Tiepolo|Giovanni Battista Nini|http://www.dia.org/user_area/comping/52.35-S1.jpg|detroit
Giovanni Battista Tiepolo|Giovanni Battista Nini|http://www.dia.org/user_area/comping/F1986.123.jpg|detroit
Giovanni Battista Tiepolo|Giovanni Battista Tiepolo|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31776800-WEB.jpg|lacma
Giovanni Battista Tiepolo|Giovanni Battista Tiepolo|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31776800-WEB.jpg|lacma
Paul Klee|Paul Klee|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000154/5809_1654056.jpg|artic
Paul Klee|Paul Klee|http://www.dia.org/user_area/comping/1987.47.jpg|detroit
Paul Klee|Paul Klee|http://www.dia.org/user_area/comping/44.90-S1.jpg|detroit
Marcellus Coffermans|Marcellus Coffermans|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000165/44016_1778738.jpg|artic
Cesare Agostino Detti|Cesare Agostino Detti|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/4911_1638824.jpg|artic
Henri de Toulouse-Lautrec|Henri de Toulouse-Lautrec|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000184/83483_2028042.jpg|artic
Henri de Toulouse-Lautrec|Henri de Toulouse-Lautrec|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000165/23498_1783914.jpg|artic
Henri de Toulouse-Lautrec|Henri de Toulouse-Lautrec|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773149-WEB.jpg|lacma
Henri de Toulouse-Lautrec|Henri de Toulouse-Lautrec|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773149-WEB.jpg|lacma
David Bates|David Bates|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000154/5312_1645471.jpg|artic
Paul Cézanne|Paul Cézanne|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000150/1856_1595640.jpg|artic
Paul Cézanne|Paul Cezanne|http://www.dia.org/user_area/comping/70.160.jpg|detroit
Paul Cézanne|Paul Cezanne|http://www.dia.org/user_area/comping/70.161.jpg|detroit
Paul Cézanne|Paul Cezanne|http://www.dia.org/user_area/comping/70.162.jpg|detroit
Paul Cézanne|Paul Cezanne|http://www.dia.org/user_area/comping/70.163-S1.jpg|detroit
Paul Cézanne|Paul Cezanne|http://www.dia.org/user_area/comping/72.465-D1.jpg|detroit
Paul Cézanne|Paul Cézanne|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770062-WEB.jpg|lacma
Paul Cézanne|Paul Cézanne|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773199-WEB.jpg|lacma
Paul Cézanne|Paul Cézanne|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773277-WEB.jpg|lacma
Paul Cézanne|Paul Cézanne|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31770062-WEB.jpg|lacma
Paul Cézanne|Paul Cézanne|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773199-WEB.jpg|lacma
Paul Cézanne|Paul Cézanne|http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31773277-WEB.jpg|lacma
Johann Georg Platzer|Johann Georg Platzer|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/4387_1631080.jpg|artic
André Derain|André Derain|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000164/44004_1778491.jpg|artic
André Derain|André Derain|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000151/3500_1617768.jpg|artic
Lau|Lau|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000002/7322_173686.jpg|artic
Jules Dupré|Jules Dupré|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000165/22207_1780213.jpg|artic
Joseph Louis Hippolyte Bellangé|Joseph Louis Hippolyte Bellangé|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000170/53071_1847078.jpg|artic
Thomas Whitcombe|Thomas Whitcombe|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000156/7325_1674490.jpg|artic
Henri Edmond Cross|Henri Edmond Cross|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000153/5065_1641703.jpg|artic
Dante Gabriel Rossetti|Dante Gabriel Rossetti|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000149/1408_1589521.jpg|artic
Édouard Manet|Édouard Manet|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000255/188568_3035987.jpg|artic
Édouard Manet|Édouard Manet|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000254/187551_3027795.jpg|artic
Édouard Manet|Édouard Manet|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000261/197295_3120304.jpg|artic
Édouard Manet|Édouard Manet|http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000256/190439_3053571.jpg|artic
